epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7413214445114136,0.6328371167182922,0.001,0.770714282989502,0.5459243059158325
1,0.7971071600914001,0.49345502257347107,0.001,0.8038095235824585,0.4768596291542053
2,0.8168392777442932,0.4445604085922241,0.001,0.8185714483261108,0.4293883442878723
3,0.8283214569091797,0.4123625159263611,0.001,0.8276190757751465,0.4147311747074127
4,0.8373928666114807,0.385683536529541,0.001,0.8247619271278381,0.4253809154033661
5,0.8456785678863525,0.3632754683494568,0.001,0.8342857360839844,0.3914110064506531
6,0.8497499823570251,0.3487517833709717,0.001,0.8278571367263794,0.39720970392227173
7,0.8544285893440247,0.3389244079589844,0.001,0.8371428847312927,0.3829175531864166
8,0.8606964349746704,0.32520952820777893,0.001,0.842380940914154,0.3704628348350525
9,0.8619464039802551,0.3159373700618744,0.001,0.8471428751945496,0.3825782835483551
10,0.866357147693634,0.30764299631118774,0.001,0.8464285731315613,0.36169445514678955
11,0.8710535764694214,0.29906198382377625,0.001,0.8438095450401306,0.3542070984840393
12,0.8725357055664062,0.2931135594844818,0.001,0.8538095355033875,0.35339251160621643
13,0.8757857084274292,0.2850090563297272,0.001,0.8428571224212646,0.3886987566947937
14,0.8781071305274963,0.27863261103630066,0.001,0.848809540271759,0.3532821238040924
15,0.8807857036590576,0.2717933654785156,0.001,0.8450000286102295,0.3567664921283722
16,0.8831071257591248,0.27248260378837585,0.001,0.8554762005805969,0.3490135669708252
17,0.8858214020729065,0.2591663599014282,0.001,0.8504762053489685,0.3775612711906433
18,0.8869642615318298,0.2599972188472748,0.001,0.8516666889190674,0.37489283084869385
19,0.8892321586608887,0.2552264928817749,0.001,0.852142870426178,0.3836996555328369
20,0.9079464077949524,0.20654961466789246,0.0005,0.8509523868560791,0.39285919070243835
21,0.9138213992118835,0.19348789751529694,0.0005,0.8516666889190674,0.4056257903575897
22,0.918749988079071,0.1835569441318512,0.0005,0.8514285683631897,0.4211367666721344
23,0.9319999814033508,0.1521875113248825,0.00025,0.8523809313774109,0.4610007703304291
